,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0280977999998413,0.0,1000.0,True,1000,0.05,25
1,1,0.12092233899988969,14.0,2002.0,True,1000,0.05,25
2,2,0.19176214200001596,21.0,3004.0,True,1000,0.05,25
3,3,0.27506355899981827,22.0,4006.0,True,1000,0.05,25
4,4,0.34612017199992806,22.0,5007.0,True,1000,0.05,25
5,5,0.42576933800000916,30.0,6009.0,True,1000,0.05,25
6,6,0.5286816479999743,30.0,7010.0,True,1000,0.05,25
7,7,0.6119670369998857,31.0,8012.0,True,1000,0.05,25
8,8,0.6982707529998606,32.0,9014.0,True,1000,0.05,25
9,9,0.7756795450000027,32.0,10015.0,True,1000,0.05,25
10,10,0.9864152000000104,32.0,11016.0,True,1000,0.05,25
11,11,1.7039350339998691,32.0,12017.0,True,1000,0.05,25
12,12,2.4141564019998896,32.0,13018.0,True,1000,0.05,25
13,13,3.0936343509999915,32.0,14019.0,True,1000,0.05,25
14,14,3.7856555599998956,32.0,15020.0,True,1000,0.05,25
15,15,4.436584820999997,32.0,16021.0,True,1000,0.05,25
16,16,5.097908137999866,32.0,17022.0,True,1000,0.05,25
17,17,5.758509948999972,32.0,18023.0,True,1000,0.05,25
18,18,6.467562128999816,32.0,19024.0,True,1000,0.05,25
19,19,7.153746986999977,32.0,20025.0,True,1000,0.05,25
20,20,7.806126784999833,32.0,21026.0,True,1000,0.05,25
21,21,8.455509713999845,32.0,22027.0,True,1000,0.05,25
22,22,9.114092577999827,32.0,23028.0,True,1000,0.05,25
23,23,9.78079670399984,32.0,24029.0,True,1000,0.05,25
24,24,10.426428243999908,32.0,25030.0,True,1000,0.05,25
25,25,11.079331740999805,32.0,26031.0,True,1000,0.05,25
26,0,0.0280977999998413,0.0,1000.0,True,1000,0.1,25
27,1,0.12092233899988969,21.0,2002.0,True,1000,0.1,25
28,2,0.19176214200001596,21.0,3003.0,True,1000,0.1,25
29,3,0.27506355899981827,26.0,4005.0,True,1000,0.1,25
30,4,0.34612017199992806,26.0,5006.0,True,1000,0.1,25
31,5,0.42576933800000916,26.0,6007.0,True,1000,0.1,25
32,6,0.5286816479999743,28.0,7009.0,True,1000,0.1,25
33,7,0.6119670369998857,29.0,8011.0,True,1000,0.1,25
34,8,0.6982707529998606,41.0,9013.0,True,1000,0.1,25
35,9,0.7756795450000027,41.0,10014.0,True,1000,0.1,25
36,10,0.9864152000000104,41.0,11015.0,True,1000,0.1,25
37,11,1.7039350339998691,41.0,12016.0,True,1000,0.1,25
38,12,2.4141564019998896,41.0,13017.0,True,1000,0.1,25
39,13,3.0936343509999915,45.0,14019.0,True,1000,0.1,25
40,14,3.7856555599998956,45.0,15020.0,True,1000,0.1,25
41,15,4.436584820999997,47.0,16022.0,True,1000,0.1,25
42,16,5.097908137999866,47.0,17023.0,True,1000,0.1,25
43,17,5.758509948999972,47.0,18024.0,True,1000,0.1,25
44,18,6.467562128999816,47.0,19025.0,True,1000,0.1,25
45,19,7.153746986999977,47.0,20026.0,True,1000,0.1,25
46,20,7.806126784999833,47.0,21027.0,True,1000,0.1,25
47,21,8.455509713999845,47.0,22028.0,True,1000,0.1,25
48,22,9.114092577999827,47.0,23029.0,True,1000,0.1,25
49,23,9.78079670399984,47.0,24030.0,True,1000,0.1,25
50,24,10.426428243999908,47.0,25031.0,True,1000,0.1,25
51,25,11.079331740999805,47.0,26032.0,True,1000,0.1,25
52,0,0.0280977999998413,0.0,1000.0,True,1000,0.15,25
53,1,0.12092233899988969,14.0,2002.0,True,1000,0.15,25
54,2,0.19176214200001596,14.0,3003.0,True,1000,0.15,25
55,3,0.27506355899981827,16.0,4005.0,True,1000,0.15,25
56,4,0.34612017199992806,18.0,5007.0,True,1000,0.15,25
57,5,0.42576933800000916,20.0,6009.0,True,1000,0.15,25
58,6,0.5286816479999743,22.0,7011.0,True,1000,0.15,25
59,7,0.6119670369998857,22.0,8012.0,True,1000,0.15,25
60,8,0.6982707529998606,26.0,9014.0,True,1000,0.15,25
61,9,0.7756795450000027,28.0,10016.0,True,1000,0.15,25
62,10,0.9864152000000104,30.0,11018.0,True,1000,0.15,25
63,11,1.7039350339998691,32.0,12020.0,True,1000,0.15,25
64,12,2.4141564019998896,34.0,13022.0,True,1000,0.15,25
65,13,3.0936343509999915,39.0,14024.0,True,1000,0.15,25
66,14,3.7856555599998956,39.0,15025.0,True,1000,0.15,25
67,15,4.436584820999997,42.0,16027.0,True,1000,0.15,25
68,16,5.097908137999866,46.0,17029.0,True,1000,0.15,25
69,17,5.758509948999972,49.0,18031.0,True,1000,0.15,25
70,18,6.467562128999816,51.0,19033.0,True,1000,0.15,25
71,19,7.153746986999977,52.0,20035.0,True,1000,0.15,25
72,20,7.806126784999833,52.0,21036.0,True,1000,0.15,25
73,21,8.455509713999845,54.0,22038.0,True,1000,0.15,25
74,22,9.114092577999827,54.0,23039.0,True,1000,0.15,25
75,23,9.78079670399984,55.0,24041.0,True,1000,0.15,25
76,24,10.426428243999908,56.0,25043.0,True,1000,0.15,25
77,25,11.079331740999805,56.0,26044.0,True,1000,0.15,25
78,0,0.0280977999998413,0.0,1000.0,True,1000,0.2,25
